,ticker,name,description,logoid,update_mode,type,typespecs,cash_n_short_term_invest_fq,fundamental_currency_code,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,sector,market,recommendation_mark,relative_volume_10d_calc
0,NYSE:BRK.A,BRK.A,Berkshire Hathaway Inc.,berkshire-hathaway,delayed_streaming_900,stock,['common'],347681000000.0,USD,713704.72,100,1,false,0,USD,-1.1763057324840802,553,1026776542128.1407,12.679198283872179,56289.4202,10.765466166805247,0.0,Finance,Finance,america,1.666667,1.4132379248658318
1,NASDAQ:AMZN,AMZN,"Amazon.com, Inc.",amazon,delayed_streaming_900,stock,['common'],98251000000.0,USD,231.01,100,1,false,0,USD,-0.7646376562567125,33715891,2452483303721.756,37.67716471221437,6.1313,72.19850586979723,0.0,Retail trade,Retail Trade,america,1.098592,0.968503826833368
2,NASDAQ:GOOG,GOOG,Alphabet Inc.,alphabet,delayed_streaming_900,stock,['common'],95148000000.0,USD,196.43,100,1,false,0,USD,1.5561989453003926,31891491,2370330703871.9946,20.922405070032486,9.3885,34.66972674460303,0.41877778926688,Technology services,Technology Services,america,1.229167,1.1613571335279131
3,NASDAQ:IBKR,IBKR,"Interactive Brokers Group, Inc.",interactive-brokers-group,delayed_streaming_900,stock,['common'],86717000000.0,USD,65.2,100,1,false,0,USD,-0.29056430646887554,4651670,28416489144.61539,34.15042949926671,1.9092,21.01159916333903,0.409083957791711,Finance,Finance,america,1.4,0.662790303191509
4,NASDAQ:MSFT,MSFT,Microsoft Corporation,microsoft,delayed_streaming_900,stock,['common'],79618000000.0,USD,512.57,100,1,false,0,USD,0.013658536585375613,16468971,3809699050049.1724,39.60944623896883,12.9406,12.125255606002842,0.63219512195122,Technology services,Technology Services,america,1.146154,1.0124338518025502
5,NYSE:SCHW,SCHW,Charles Schwab Corporation (The),schwab,delayed_streaming_900,stock,['common'],77800000000.0,USD,97.91,100,1,false,0,USD,0.0,9532283,177899572341.0,26.360283229679883,3.7143,54.33165745626793,1.06219997957308,Finance,Finance,america,1.340909,0.8735703465580339
6,NASDAQ:META,META,"Meta Platforms, Inc.",meta-platforms,delayed_streaming_900,stock,['common'],70301000000.0,USD,700.0,100,1,false,0,USD,-2.456697741175814,13266750,1759903576427.6858,27.304499781564,25.6368,47.260915268451576,0.285662528043699,Technology services,Technology Services,america,1.222222,1.273377761076371
7,NYSE:AXP,AXP,American Express Company,american-express,delayed_streaming_900,stock,['common'],57937000000.0,USD,308.54,100,1,false,0,USD,-0.7079873849520463,1796438,214707506735.10855,21.66226690631319,14.2432,6.257646742860547,0.939692347299994,Finance,Finance,america,1.734375,0.6455727025838606
8,NASDAQ:NVDA,NVDA,NVIDIA Corporation,nvidia,delayed_streaming_900,stock,['common'],53691000000.0,USD,175.51,100,1,false,0,USD,-0.7015558698727067,154070789,4282444000000.0,56.53406345627315,3.1045,81.60280783854927,0.0226308345120226,Electronic technology,Electronic Technology,america,1.189394,0.988644725593111
9,NASDAQ:AAPL,AAPL,Apple Inc.,apple,delayed_streaming_900,stock,['common'],48498000000.0,USD,211.27,100,1,false,0,USD,-1.298761971501986,51411514,3155492040320.21,32.970239860172605,6.4079,-0.35609877464701006,0.471852370941369,Electronic technology,Electronic Technology,america,1.5,1.128064364294193
10,NASDAQ:TSLA,TSLA,"Tesla, Inc.",tesla,delayed_streaming_900,stock,['common'],37341000000.0,USD,321.2,100,1,false,0,USD,-1.3483215086458389,87354779,1036014198991.7295,186.00880240908037,1.7268,-51.50391776897801,0.0,Consumer durables,Consumer Durables,america,1.845455,0.8678385199010007
11,NYSE:F,F,Ford Motor Company,ford,delayed_streaming_900,stock,['common'],35226000000.0,USD,11.08,100,1,false,0,USD,-1.7730496453900648,58369463,44061799250.35107,8.878205128205128,1.248,28.659793814432994,6.64893617021277,Consumer durables,Consumer Durables,america,2.019231,0.8298612188719899
12,NYSE:GM,GM,General Motors Company,general-motors,delayed_streaming_900,stock,['common'],32282000000.0,USD,52.11,100,1,false,0,USD,-2.507015902712822,8442950,49612775899.224686,8.260676579689926,6.3082,-29.071937754390703,0.954162768942937,Consumer durables,Consumer Durables,america,1.612903,0.6730641864212135
13,NYSE:BA,BA,Boeing Company (The),boeing,delayed_streaming_900,stock,['common'],22967000000.0,USD,226.08,100,1,false,0,USD,-4.369527515756518,20163642,170465564534.96893,,-17.9353,-406.76141500904157,0.0,Electronic technology,Electronic Technology,america,1.366667,3.081495652261621
14,NYSE:BN,BN,Brookfield Corporation,brookfield,delayed_streaming_900,stock,['common'],21832058148.57,USD,67.79,100,1,false,0,USD,0.3552923760177781,2600075,111773898172.76369,245.87204805562106,0.275712512,-54.16701778202436,0.511485554118154,Finance,Finance,america,1.363636,0.911450477959605
15,NASDAQ:INTC,INTC,Intel Corporation,intel,delayed_streaming_900,stock,['common'],21206000000.0,USD,20.41,100,1,false,0,USD,-1.3056092843326865,100823130,89334571318.55705,,-4.7628,-2174.3902439024387,2.41779497098646,Electronic technology,Electronic Technology,america,2.055556,1.1430791920621974
