,ticker,logoid,name,premarket_close,premarket_change_abs,premarket_change,premarket_volume,premarket_gap,close,change,volume,market_cap_basic,Perf.1Y.MarketCap,description,type,typespecs,update_mode,pricescale,minmov,fractional,minmove2,fundamental_currency_code,currency
0,NASDAQ:SLRX,salarius-pharmaceuticals,SLRX,1.55,0.8089000000000001,109.14856294697073,24909302,56.524085818378076,0.9996,34.880582917285125,101722396,2126435.5514775338,46.7338009158253,"Salarius Pharmaceuticals, Inc.",stock,['common'],delayed_streaming_900,10000,1,false,0,USD,USD
1,NASDAQ:SRPT,sarepta-therapeutics,SRPT,18.21,4.350000000000001,31.3852813852814,4932542,49.06204906204907,15.83,14.21356421356422,67569461,1555725361.143579,-86.9912753120941,"Sarepta Therapeutics, Inc.",stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
2,NASDAQ:STAI,scantech-ai-systems,STAI,0.9669,0.29789999999999994,44.52914798206277,39272655,40.49327354260088,1.19,77.87742899850521,319077443,57432151.7638266,-65.85095389313793,ScanTech AI Systems Inc.,stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
3,NASDAQ:ADIL,adial-pharmaceuticals,ADIL,0.7491,0.11909999999999998,18.9047619047619,6247431,32.60317460317461,0.6061,-3.793650793650799,21169713,9561769.141746031,41.05396896883637,"Adial Pharmaceuticals, Inc",stock,['common'],delayed_streaming_900,10000,1,false,0,USD,USD
4,AMEX:SER,agex-therapeutics,SER,6.49,0.7750000000000004,13.560804899387582,14567,32.1084864391951,5.965,4.374453193350831,144969,59455426.188101485,-43.51049865719162,"Serina Therapeutics, Inc.",stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
5,NASDAQ:MBRX,moleculin-biotech,MBRX,0.63,0.0797,14.483009267672179,949360,27.203343630746858,0.7144,29.820098128293658,18515926,21580233.780846808,88.58208440563924,"Moleculin Biotech, Inc.",stock,['common'],delayed_streaming_900,10000,1,false,0,USD,USD
6,NASDAQ:CASK,heritage-distilling-company,CASK,0.556,0.07110000000000005,14.66281707568572,4621337,26.397195297999588,0.58,19.612291194060624,31109793,,,"Heritage Distilling Holding Company, Inc.",stock,['common'],delayed_streaming_900,10000,1,false,0,USD,USD
7,NASDAQ:GIBO,gibo-limited,GIBO,0.0819,0.014700000000000005,21.875000000000007,64536135,25.000000000000018,0.095,41.36904761904763,703033959,18990925.41,,GIBO Holdings Limited,stock,['common'],delayed_streaming_900,10000,1,false,0,USD,USD
8,NASDAQ:NVNI,nvni-limited,NVNI,0.7357,0.047599999999999976,6.917599186164798,8364870,20.520273216102307,0.6445,-6.336288330184578,42421220,22269453.177590463,-65.84316182323721,Nvni Group Limited,stock,['common'],delayed_streaming_900,10000,1,false,0,USD,USD
9,NASDAQ:ABP,abpro,ABP,0.3145,-0.0050000000000000044,-1.5649452269170594,1688478,20.28169014084506,0.3234,1.2206572769953097,19749556,19658604.368075117,-85.2699071039445,"Abpro Holdings, Inc",stock,['common'],delayed_streaming_900,10000,1,false,0,USD,USD
